종목명,종목코드
하이드로리튬,101670
아우딘퓨쳐스,227610
다우데이타,032190
세방,004360
오리콤,010470
삼아알미늄,006110
HD현대일렉트릭,267260
PN풍년,024940
HD현대건설기계,267270
대한광통신,010170
율촌화학,008730
한화에어로스페이스,012450
GKL,114090
레인보우로보틱스,277810
케이알엠,093640
SCI평가정보,036120
현대로템,064350
오리온,271560
홈캐스트,064240
효성중공업,298040
에스피지,058610
아이디피,332370
제주은행,006220
아스플로,159010
희림,037440
디이엔티,079810
JYP Ent.,035900
서연이화,200880
비엠티,086670
LS,006260
씨에스윈드,112610
에스엠,041510
한화솔루션,009830
태경비케이,014580
SNT다이내믹스,003570
제이스텍,090470
네오위즈,095660
나무가,190510
리튬포어스,073570
STX,011810
피플바이오,304840
HD현대,267250
덴티움,145720
로체시스템즈,071280
비츠로셀,082920
아바코,083930
에코프로,086520
포스코DX,022100
휠라홀딩스,081660
포스코퓨처엠,003670
대보마그네틱,290670
제일테크노스,038010
LG화학,051910
LG에너지솔루션,373220
삼성SDI,006400
현대에버다임,041440
STX중공업,071970
YTN,040300
에스에스알,275630
비올,335890
제룡전기,033100
코스모화학,005420
SNT에너지,100840
상신이디피,091580
KTcs,058850
뉴프렉스,085670
APS,054620
한국정보통신,025770
KTis,058860
포스코엠텍,009520
로보티즈,108490
파라다이스,034230
성우하이텍,015750
케이티알파,036030
와이엠텍,273640
유아이엘,049520
미디어젠,279600
팬엔터테인먼트,068050
에스앤에스텍,101490
수산아이앤티,050960
메리츠금융지주,138040
동운아나텍,094170
풍산,103140
HD현대인프라코어,042670
솔트룩스,304100
셀바스AI,108860
갤럭시아에스엠,011420
메디톡스,086900
대모,317850
라이콤,388790
큐브엔터,182360
GS리테일,007070
삼진,032750
휴스틸,005010
나우IB,293580
나무기술,242040
다우기술,023590
금양,001570
미래나노텍,095500
나노신소재,121600
바이오니아,064550
선익시스템,171090
레이,228670
위세아이텍,065370
골드앤에스,035290
강원에너지,114190
SM Life Design,063440
덕우전자,263600
대창단조,015230
RF머트리얼즈,327260
진성티이씨,036890
영풍제지,006740
이루다,164060
POSCO홀딩스,005490
글로벌텍스프리,204620
제이시스메디칼,287410
삼성엔지니어링,028050
바이오플러스,099430
방림,003610
로보스타,090360
영풍정밀,036560
남화토건,091590
윈텍,320000
리더스코스메틱,016100
삼천당제약,000250
켄코아에어로스페이스,274090
브리지텍,064480
데이타솔루션,263800
MDS테크,086960
JB금융지주,175330
DMS,068790
큐렉소,060280
HLB이노베이션,024850
코스모신소재,005070
애니플러스,310200
톱텍,108230
유니온커뮤니티,203450
케이피에스,256940
아모텍,052710
제이앤티씨,204270
지오릿에너지,270520
원텍,336570
엑셈,205100
제우스,079370
미래컴퍼니,049950
유엔젤,072130
이글루,067920
DB손해보험,005830
토비스,051360
필옵틱스,161580
엠투아이,347890
한국화장품제조,003350
코세스,089890
두산,000150
피제이전자,006140
알톤스포츠,123750
씨이랩,189330
셀바스헬스케어,208370
티웨이항공,091810
모트렉스,118990
코스맥스,192820
레이크머티리얼즈,281740
파나진,046210
오파스넷,173130
자이글,234920
루트로닉,085370
클래시스,214150
엘티씨,170920
대주전자재료,078600
씨앤씨인터내셔널,352480
디지캡,197140
동국산업,005160
케이엔더블유,105330
덕산네오룩스,213420
석경에이티,357550
제테마,216080
세아베스틸지주,001430
이엔플러스,074610
에코프로에이치엔,383310
아이엠,101390
에프에스티,036810
LG전자,066570
아가방컴퍼니,013990
에코앤드림,101360
KBG,318000
마음AI,377480
LG,003550
케어랩스,263700
지아이텍,382480
폴라리스오피스,041020
에이디테크놀로지,200710
에코플라스틱,038110
대원강업,000430
이수화학,005950
에이블씨엔씨,078520
케이엔제이,272110
휴맥스홀딩스,028080
클리오,237880
두산밥캣,241560
엠케이전자,033160
엠로,058970
유일로보틱스,388720
칩스앤미디어,094360
엠아이텍,179290
넥센타이어,002350
하림지주,003380
지앤비에스 에코,382800
서원인텍,093920
서진시스템,178320
미래산업,025560
티라유텍,322180
솔본,035610
이녹스,088390
뷰노,338220
한미반도체,042700
미코,059090
웰크론한텍,076080
매커스,093520
오스테오닉,226400
에코프로비엠,247540
조일알미늄,018470
인텔리안테크,189300
드림텍,192650
중앙디앤엠,051980
경동인베스트,012320
한국정밀기계,101680
켐트로스,220260
아이씨디,040910
웅진씽크빅,095720
비아트론,141000
에브리봇,270660
아스타,246720
한농화성,011500
AP위성,211270
자화전자,033240
프로이천,321260
유에스티,263770
호텔신라,008770
소니드,060230
엠에스오토텍,123040
코아시아,045970
DI동일,001530
에스엔유,080000
NI스틸,008260
코스텍시스,355150
모베이스,101330
유니퀘스트,077500
동아엘텍,088130
현대퓨처넷,126560
